,distBF,distRA,distSeaTac
0,12688.469537824407,11991.444291445696,26486.13076149106
1,70456.1560465879,86919.75499221576,101345.1829161986
2,78351.56066560445,89424.46186439811,108475.59253722691
3,22694.351784545164,44762.36893665203,36974.265724106095
4,71154.1050694586,61925.7738073957,88541.57650955311
5,86835.17806431216,79168.47824408964,105718.06599946036
6,79943.9809182314,72234.57164985442,49437.48941929345
7,43420.37131971275,38992.28442262974,13289.095176880937
8,10454.111378681675,30581.540743062178,27023.473418667454
9,88810.10708531537,64622.02914507523,71147.1847673681
10,46882.78509611242,43081.87462719631,68393.9363172592
11,59069.707872194,74229.58217181753,89885.02233467625
12,84940.35319053844,95911.27719926725,115078.84444966364
13,70489.62897856798,60844.91201586822,87482.42449202486
14,56505.86625643665,78010.0442461083,86049.11295088298
15,23981.24846747332,48467.15971712549,50531.43194326741
16,110980.62184649563,106177.1381022995,132430.0430322051
17,50854.22169849905,70003.86805107303,81513.8507427363
18,83157.89916335522,67172.09120711617,53564.32483843537
19,70734.85844801331,61975.101617644585,39943.46819033966
20,64310.89748516759,82353.20437368602,95087.20181890258
21,17042.212554291713,14651.71005458011,35689.89323009444
22,80548.66268698062,61829.84414028232,53034.81828776573
23,72106.9353149457,52474.053418897354,46077.25609525413
24,64800.751429290016,44823.572498437024,39883.12887583475
25,84087.20292431378,68648.56608094525,54200.69841760602
26,42755.65274935761,63828.497488339504,72859.85123375204
27,34384.077287474596,52877.5208041398,65261.036503528274
28,60846.53014405047,76774.98280749869,91723.9481721161
29,80659.00661386336,82476.39501380528,106595.61645980443
30,57399.90972997943,39939.53776512966,65864.7210092605
31,73926.88380795733,92250.42654701526,104607.35278127773
32,58535.75304156904,78511.15748365091,88861.68773188588
33,61337.076639738814,81450.33934071923,91573.7071325037
34,51271.49640645409,28043.8968572142,34917.36712495858
35,56393.6367992959,72934.87916546603,87283.93807912755
36,64350.503312193774,65121.36698746536,89412.16236175592
37,53885.05927455365,73930.87800718642,84243.21563508654
